0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:04:30 -0700] "GET /Midterm/UpdateStatus?status=Completed&id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:04:30 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:04:41 -0700] "GET /Midterm/UpdateStatus?id=1 HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:07:44 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:07:46 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:07:48 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:08:48 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:08:52 -0700] "GET /Midterm/CreateRequest HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:09:22 -0700] "POST /Midterm/CreateRequest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:09:22 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:09:26 -0700] "GET /Midterm/UpdateStatus?id=2 HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:09:29 -0700] "POST /Midterm/UpdateStatus HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:09:29 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:09:30 -0700] "GET /Midterm/UpdateStatus?id=2 HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:09:32 -0700] "GET /Midterm/UpdateStatus?status=Cancelled&id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:09:32 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:10:06 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1203
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:10:39 -0700] "GET /Midterm/CreateRequest HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:03 -0700] "POST /Midterm/CreateRequest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:03 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:04 -0700] "GET /Midterm/UpdateStatus?id=3 HTTP/1.1" 200 940
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:14 -0700] "POST /Midterm/UpdateStatus HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:14 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:29 -0700] "GET /Midterm/UpdateStatus?id=3 HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:33 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:36 -0700] "GET /Midterm/UpdateStatus?id=3 HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:37 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:38 -0700] "GET /Midterm/UpdateStatus?id=3 HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:39 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:41 -0700] "GET /Midterm/UpdateStatus?id=3 HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:42 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:43 -0700] "GET /Midterm/UpdateStatus?id=3 HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:48 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:49 -0700] "GET /Midterm/UpdateStatus?id=3 HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:54 -0700] "GET /Midterm/UpdateStatus?status=Completed&id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:11:54 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:12:05 -0700] "GET /Midterm/CreateRequest HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:13:10 -0700] "GET /Midterm/CreateRequest HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:13:27 -0700] "POST /Midterm/CreateRequest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:13:27 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:13:28 -0700] "GET /Midterm/UpdateStatus?id=4 HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:13:31 -0700] "POST /Midterm/UpdateStatus HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:13:31 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:13:35 -0700] "GET /Midterm/UpdateStatus?id=4 HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:13:59 -0700] "GET /Midterm/UpdateStatus?status=Cancelled&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:13:59 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [05/Apr/2023:09:14:53 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1556
